Estado,Año,Homicidio,Robo,Feminicidio,Población
Aguascalientes,2020,72,10417,3,1425600
Aguascalientes,2021,75,10103,9,1439856
Aguascalientes,2022,70,10661,10,1454254
Aguascalientes,2023,85,11048,3,1468797
Aguascalientes,2024,112,10364,7,1483485
Aguascalientes,2025,86,9303,4,1498319
Baja California,2020,2629,27993,31,3769000
Baja California,2021,2670,30839,20,3806690
Baja California,2022,2399,33078,26,3844756
Baja California,2023,2116,33458,20,3883204
Baja California,2024,2089,29441,38,3922036
Baja California,2025,1530,21272,33,3961256
Baja California Sur,2020,62,5690,4,798000
Baja California Sur,2021,48,5068,7,805980
Baja California Sur,2022,39,5722,6,814039
Baja California Sur,2023,24,5487,2,822180
Baja California Sur,2024,56,5606,8,830401
Baja California Sur,2025,113,5198,6,838706
Campeche,2020,77,925,3,928000
Campeche,2021,85,1732,7,937280
Campeche,2022,87,5936,11,946652
Campeche,2023,94,5999,12,956119
Campeche,2024,95,2868,6,965680
Campeche,2025,101,712,11,975337
Chiapas,2020,419,3431,28,5544000
Chiapas,2021,429,2839,46,5599440
Chiapas,2022,377,2528,44,5655434
Chiapas,2023,500,2316,35,5711988
Chiapas,2024,662,2380,32,5769108
Chiapas,2025,324,1678,31,5826799
Chihuahua,2020,2296,12914,30,3801000
Chihuahua,2021,2060,14426,44,3839010
Chihuahua,2022,1668,14537,43,3877400
Chihuahua,2023,1776,14945,48,3916174
Chihuahua,2024,1705,14249,47,3955335
Chihuahua,2025,1489,11624,45,3994889
Ciudad de Mexico,2020,1128,77962,78,9209000
Ciudad de Mexico,2021,921,79567,68,9301090
Ciudad de Mexico,2022,709,77132,75,9394100
Ciudad de Mexico,2023,779,74958,59,9488041
Ciudad de Mexico,2024,813,68318,68,9582922
Ciudad de Mexico,2025,761,63447,44,9678751
Coahuila de Zaragoza,2020,194,6357,24,3147000
Coahuila de Zaragoza,2021,137,7136,22,3178470
Coahuila de Zaragoza,2022,129,7322,23,3210254
Coahuila de Zaragoza,2023,116,6456,11,3242357
Coahuila de Zaragoza,2024,105,5587,20,3274780
Coahuila de Zaragoza,2025,76,5910,9,3307528
Colima,2020,544,6415,7,731000
Colima,2021,474,8048,4,738310
Colima,2022,738,7115,18,745693
Colima,2023,792,5684,21,753150
Colima,2024,749,4446,6,760681
Colima,2025,557,4090,3,768288
Durango,2020,143,8712,12,1833000
Durango,2021,128,7755,10,1851330
Durango,2022,115,6327,18,1869843
Durango,2023,78,3759,10,1888541
Durango,2024,64,2847,11,1907427
Durango,2025,55,2252,6,1926501
Guanajuato,2020,3359,34398,19,6167000
Guanajuato,2021,2823,30811,30,6228670
Guanajuato,2022,2634,31259,21,6290956
Guanajuato,2023,2581,30424,26,6353866
Guanajuato,2024,2553,31658,15,6417404
Guanajuato,2025,2035,32128,18,6481578
Guerrero,2020,1222,5917,13,3533000
Guerrero,2021,1166,6200,17,3568330
Guerrero,2022,1137,6034,12,3604013
Guerrero,2023,1401,5672,15,3640053
Guerrero,2024,1398,5871,22,3676453
Guerrero,2025,1071,5327,20,3713218
Hidalgo,2020,296,11588,19,3083000
Hidalgo,2021,241,10774,21,3113830
Hidalgo,2022,274,12607,19,3144968
Hidalgo,2023,219,12455,20,3176417
Hidalgo,2024,246,11349,20,3208182
Hidalgo,2025,253,11860,14,3240263
Jalisco,2020,1754,53455,70,8348000
Jalisco,2021,1816,52079,77,8431480
Jalisco,2022,1600,46197,42,8515794
Jalisco,2023,1450,42147,37,8600952
Jalisco,2024,1440,38459,38,8686962
Jalisco,2025,953,32242,38,8773831
Michoacan de Ocampo,2020,1976,13940,21,4749000
Michoacan de Ocampo,2021,2233,12917,28,4796490
Michoacan de Ocampo,2022,1969,11304,43,4844454
Michoacan de Ocampo,2023,1438,11777,16,4892899
Michoacan de Ocampo,2024,1246,11500,14,4941828
Michoacan de Ocampo,2025,1072,10868,24,4991246
Morelos,2020,802,15100,35,1972000
Morelos,2021,1035,14830,23,1991720
Morelos,2022,1041,15196,32,2011637
Morelos,2023,1302,15385,45,2031753
Morelos,2024,1323,14554,50,2052071
Morelos,2025,997,13515,35,2072591
Estado de Mexico,2020,2441,136258,151,16992000
Estado de Mexico,2021,2346,138845,145,17161920
Estado de Mexico,2022,2257,138143,138,17333539
Estado de Mexico,2023,2254,128008,89,17506874
Estado de Mexico,2024,1964,122206,73,17681943
Estado de Mexico,2025,1312,97032,55,17858762
Nayarit,2020,159,745,12,1235000
Nayarit,2021,201,850,7,1247350
Nayarit,2022,150,1370,2,1259823
Nayarit,2023,120,1713,6,1272421
Nayarit,2024,144,1334,11,1285145
Nayarit,2025,157,1220,10,1297997
Nuevo Leon,2020,847,16091,67,5784000
Nuevo Leon,2021,1003,14218,66,5841840
Nuevo Leon,2022,1328,16549,102,5900258
Nuevo Leon,2023,1338,10983,73,5959260
Nuevo Leon,2024,1539,9734,60,6018853
Nuevo Leon,2025,726,7845,15,6079042
Oaxaca,2020,809,10344,36,4143000
Oaxaca,2021,736,10650,43,4184430
Oaxaca,2022,826,11477,40,4226274
Oaxaca,2023,852,9662,39,4268537
Oaxaca,2024,877,6873,20,4311222
Oaxaca,2025,781,5286,13,4354334
Puebla,2020,872,25548,52,6583000
Puebla,2021,797,28538,37,6648830
Puebla,2022,914,30159,20,6715318
Puebla,2023,852,31823,35,6782471
Puebla,2024,880,32344,42,6850296
Puebla,2025,779,32758,25,6918799
Queretaro,2020,182,22760,11,2368000
Queretaro,2021,185,21867,9,2391680
Queretaro,2022,166,22983,12,2415596
Queretaro,2023,179,23276,9,2439752
Queretaro,2024,174,21655,4,2464150
Queretaro,2025,140,18756,14,2488791
Quintana Roo,2020,581,15510,15,1858000
Quintana Roo,2021,585,15692,25,1876580
Quintana Roo,2022,562,14744,14,1895345
Quintana Roo,2023,629,14435,17,1914299
Quintana Roo,2024,569,12586,12,1933442
Quintana Roo,2025,249,11564,15,1952776
San Luis Potosi,2020,621,12774,27,2822000
San Luis Potosi,2021,614,14108,24,2850220
San Luis Potosi,2022,547,16215,12,2878722
San Luis Potosi,2023,433,15303,12,2907509
San Luis Potosi,2024,377,13749,13,2936584
San Luis Potosi,2025,185,11460,7,2965950
Sinaloa,2020,700,6660,26,3027000
Sinaloa,2021,556,7535,40,3057270
Sinaloa,2022,435,7806,20,3087842
Sinaloa,2023,492,9026,29,3118721
Sinaloa,2024,805,9141,26,3149908
Sinaloa,2025,1355,11623,69,3181407
Sonora,2020,1330,9250,30,2945000
Sonora,2021,1600,8929,42,2974450
Sonora,2022,1439,8148,35,3004194
Sonora,2023,1134,8010,30,3034236
Sonora,2024,1129,6397,25,3064578
Sonora,2025,1005,5075,24,3095224
Tabasco,2020,509,12961,15,2403000
Tabasco,2021,390,11927,15,2427030
Tabasco,2022,291,10637,17,2451300
Tabasco,2023,234,9375,18,2475813
Tabasco,2024,707,9794,28,2500571
Tabasco,2025,556,9109,25,2525577
Tamaulipas,2020,572,8641,11,3528000
Tamaulipas,2021,525,8813,5,3563280
Tamaulipas,2022,382,8440,19,3598912
Tamaulipas,2023,365,9640,17,3634901
Tamaulipas,2024,331,9389,26,3671250
Tamaulipas,2025,203,8133,29,3707963
Tlaxcala,2020,108,2615,9,1343000
Tlaxcala,2021,116,3003,11,1356430
Tlaxcala,2022,130,2953,5,1369994
Tlaxcala,2023,106,3027,12,1383694
Tlaxcala,2024,128,2682,13,1397531
Tlaxcala,2025,103,1569,7,1411506
Veracruz de Ignacio de la Llave,2020,1294,22429,72,8062000
Veracruz de Ignacio de la Llave,2021,1107,22697,67,8142620
Veracruz de Ignacio de la Llave,2022,855,20280,65,8224046
Veracruz de Ignacio de la Llave,2023,829,18503,44,8306286
Veracruz de Ignacio de la Llave,2024,771,16213,53,8389349
Veracruz de Ignacio de la Llave,2025,813,16030,45,8473243
Yucatan,2020,52,583,6,2321000
Yucatan,2021,42,352,5,2344210
Yucatan,2022,39,461,5,2367652
Yucatan,2023,34,484,8,2391328
Yucatan,2024,44,510,7,2415241
Yucatan,2025,35,724,10,2439394
Zacatecas,2020,789,5892,10,1622000
Zacatecas,2021,1134,6123,11,1638220
Zacatecas,2022,981,6315,15,1654602
Zacatecas,2023,709,6272,13,1671148
Zacatecas,2024,369,5501,8,1687859
Zacatecas,2025,114,4763,7,1704738
